,date,price,upanddown,check
449,2005-11-12,3.49,0.00,
450,2005-11-13,3.49,0.00,
451,2005-11-14,3.49,0.00,
452,2005-11-15,3.49,0.00,
453,2005-11-16,3.49,0.00,
454,2005-11-17,3.49,0.00,
455,2005-11-18,3.49,0.00,
456,2005-11-19,3.49,0.00,
457,2005-11-20,3.49,0.00,
458,2005-11-21,3.44,-1.43,
459,2005-11-22,3.46,+ 0.58,
460,2005-11-23,3.49,+ 0.87,
461,2005-11-24,3.50,+ 0.29,
462,2005-11-25,3.50,0.00,
463,2005-11-26,3.50,0.00,
464,2005-11-27,3.50,0.00,
465,2005-11-28,3.49,-0.29,
466,2005-11-29,3.49,0.00,
467,2005-11-30,3.50,+ 0.29,
468,2005-12-01,3.50,0.00,
469,2005-12-02,3.49,-0.29,
470,2005-12-03,3.49,-0.29,
471,2005-12-04,3.49,-0.29,
472,2005-12-05,3.48,-0.29,
473,2005-12-06,3.43,-1.44,
474,2005-12-07,3.47,+ 1.17,
475,2005-12-08,3.73,+ 7.49,
476,2005-12-09,3.73,0.00,
477,2005-12-10,3.73,0.00,
478,2005-12-11,3.73,0.00,
479,2005-12-12,3.74,+ 0.27,
480,2005-12-13,3.74,0.00,
481,2005-12-14,3.75,+ 0.27,
482,2005-12-15,3.74,-0.27,
483,2005-12-16,3.74,0.00,
484,2005-12-17,3.74,0.00,
485,2005-12-18,3.74,0.00,
486,2005-12-19,3.74,0.00,
487,2005-12-20,3.75,+ 0.27,
488,2005-12-21,3.70,-1.33,
489,2005-12-22,3.68,-0.54,
490,2005-12-23,3.74,+ 1.63,
491,2005-12-24,3.74,+ 1.63,
492,2005-12-25,3.74,+ 1.63,
493,2005-12-26,3.75,+ 0.27,
494,2005-12-27,3.74,-0.27,
495,2005-12-28,3.74,0.00,
496,2005-12-29,3.75,+ 0.27,
497,2005-12-30,3.76,+ 0.27,
498,2005-12-31,3.76,+ 0.27,
499,2006-01-01,3.76,+ 0.27,
500,2006-01-02,3.74,-0.53,
501,2006-01-03,3.74,0.00,
502,2006-01-04,3.74,0.00,
503,2006-01-05,3.70,-1.07,
504,2006-01-06,3.69,-0.27,
505,2006-01-07,3.69,-0.27,
506,2006-01-08,3.69,-0.27,
507,2006-01-09,3.74,+ 1.36,
508,2006-01-10,3.74,0.00,
509,2006-01-11,3.74,0.00,
510,2006-01-12,3.74,0.00,
511,2006-01-13,3.73,-0.27,
512,2006-01-14,3.73,-0.27,
513,2006-01-15,3.73,-0.27,
514,2006-01-16,3.74,+ 0.27,
515,2006-01-17,3.74,0.00,
516,2006-01-18,3.74,0.00,
517,2006-01-19,3.70,-1.07,
518,2006-01-20,3.72,+ 0.54,
519,2006-01-21,3.72,+ 0.54,
520,2006-01-22,3.72,+ 0.54,
521,2006-01-23,3.74,+ 0.54,
522,2006-01-24,3.74,0.00,
523,2006-01-25,3.75,+ 0.27,
524,2006-01-26,3.76,+ 0.27,
525,2006-01-27,3.75,-0.27,
526,2006-01-28,3.75,-0.27,
527,2006-01-29,3.75,-0.27,
528,2006-01-30,3.75,-0.27,
529,2006-01-31,3.76,+ 0.27,
530,2006-02-01,3.75,-0.27,
531,2006-02-02,3.74,-0.27,
532,2006-02-03,3.73,-0.27,
533,2006-02-04,3.73,-0.27,
534,2006-02-05,3.73,-0.27,
535,2006-02-06,3.69,-1.07,
536,2006-02-07,3.68,-0.27,
537,2006-02-08,3.74,+ 1.63,
538,2006-02-09,3.99,+ 6.68,
539,2006-02-10,3.99,0.00,
540,2006-02-11,3.99,0.00,
541,2006-02-12,3.99,0.00,
542,2006-02-13,3.99,0.00,
543,2006-02-14,3.99,0.00,
544,2006-02-15,3.99,0.00,
545,2006-02-16,3.99,0.00,
546,2006-02-17,3.98,-0.25,
547,2006-02-18,3.98,-0.25,
548,2006-02-19,3.98,-0.25,
549,2006-02-20,3.98,0.00,
550,2006-02-21,3.95,-0.75,
551,2006-02-22,3.97,+ 0.51,
552,2006-02-23,3.99,+ 0.50,
553,2006-02-24,3.99,0.00,
554,2006-02-25,3.99,0.00,
555,2006-02-26,3.99,0.00,
556,2006-02-27,3.99,0.00,
557,2006-02-28,3.99,0.00,
558,2006-03-01,3.99,0.00,
559,2006-03-02,3.99,0.00,
560,2006-03-03,3.98,-0.25,
561,2006-03-04,3.98,-0.25,
562,2006-03-05,3.98,-0.25,
563,2006-03-06,3.95,-0.75,
564,2006-03-07,3.94,-0.25,
565,2006-03-08,3.98,+ 1.02,
566,2006-03-09,3.98,0.00,
567,2006-03-10,3.98,0.00,
568,2006-03-11,3.98,0.00,
569,2006-03-12,3.98,0.00,
570,2006-03-13,3.98,0.00,
571,2006-03-14,3.98,0.00,
572,2006-03-15,3.98,0.00,
573,2006-03-16,3.98,0.00,
