,date,price
1398,2014-11-20,1.98
1399,2014-11-19,1.98
1400,2014-11-18,1.98
1401,2014-11-17,1.98
1402,2014-11-14,1.98
1403,2014-11-13,1.98
1404,2014-11-12,1.98
1405,2014-11-11,1.98
1406,2014-11-10,1.98
1407,2014-11-07,1.98
1408,2014-11-06,1.98
1409,2014-11-05,1.97
1410,2014-11-04,1.96
1411,2014-11-03,1.98
1412,2014-10-31,1.97
1413,2014-10-30,1.98
1414,2014-10-29,1.98
1415,2014-10-28,1.98
1416,2014-10-27,1.98
1417,2014-10-24,1.98
1418,2014-10-23,1.99
1419,2014-10-22,1.98
1420,2014-10-21,1.98
1421,2014-10-20,1.98
1422,2014-10-17,1.98
1423,2014-10-16,1.98
1424,2014-10-15,1.99
1425,2014-10-14,2.23
1426,2014-10-13,2.23
1427,2014-10-10,2.23
1428,2014-10-08,2.23
1429,2014-10-07,2.23
1430,2014-10-06,2.23
1431,2014-10-02,2.23
1432,2014-10-01,2.24
1433,2014-09-30,2.24
1434,2014-09-29,2.24
1435,2014-09-26,2.23
1436,2014-09-25,2.24
1437,2014-09-24,2.24
1438,2014-09-23,2.23
1439,2014-09-22,2.23
1440,2014-09-19,2.23
1441,2014-09-18,2.23
1442,2014-09-17,2.23
1443,2014-09-16,2.23
1444,2014-09-15,2.23
1445,2014-09-12,2.23
1446,2014-09-11,2.23
1447,2014-09-05,2.25
1448,2014-09-04,2.25
1449,2014-09-03,2.24
1450,2014-09-02,2.23
1451,2014-09-01,2.23
1452,2014-08-29,2.24
1453,2014-08-28,2.23
1454,2014-08-27,2.23
1455,2014-08-26,2.23
1456,2014-08-25,2.24
1457,2014-08-22,2.23
1458,2014-08-21,2.23
1459,2014-08-20,2.23
1460,2014-08-19,2.24
1461,2014-08-18,2.24
1462,2014-08-14,2.24
1463,2014-08-13,2.49
1464,2014-08-12,2.49
1465,2014-08-11,2.48
1466,2014-08-08,2.49
1467,2014-08-07,2.49
1468,2014-08-06,2.49
1469,2014-08-05,2.48
1470,2014-08-04,2.48
1471,2014-08-01,2.48
1472,2014-07-31,2.49
1473,2014-07-30,2.50
1474,2014-07-29,2.50
1475,2014-07-28,2.50
1476,2014-07-25,2.49
1477,2014-07-24,2.49
1478,2014-07-23,2.49
1479,2014-07-22,2.48
1480,2014-07-21,2.48
1481,2014-07-18,2.48
1482,2014-07-17,2.49
1483,2014-07-16,2.48
1484,2014-07-15,2.48
1485,2014-07-14,2.48
1486,2014-07-11,2.48
1487,2014-07-10,2.48
1488,2014-07-09,2.50
1489,2014-07-08,2.48
1490,2014-07-07,2.48
1491,2014-07-04,2.48
1492,2014-07-03,2.48
1493,2014-07-02,2.48
1494,2014-07-01,2.48
1495,2014-06-30,2.49
1496,2014-06-27,2.48
1497,2014-06-26,2.49
1498,2014-06-25,2.49
1499,2014-06-24,2.48
1500,2014-06-23,2.48
1501,2014-06-20,2.48
1502,2014-06-19,2.48
1503,2014-06-18,2.48
1504,2014-06-17,2.47
1505,2014-06-16,2.48
1506,2014-06-13,2.48
1507,2014-06-12,2.48
1508,2014-06-11,2.49
1509,2014-06-10,2.49
1510,2014-06-09,2.48
1511,2014-06-05,2.48
1512,2014-06-03,2.48
1513,2014-06-02,2.48
1514,2014-05-30,2.49
1515,2014-05-29,2.49
1516,2014-05-28,2.48
1517,2014-05-27,2.48
1518,2014-05-26,2.49
1519,2014-05-23,2.49
1520,2014-05-22,2.49
1521,2014-05-21,2.49
1522,2014-05-20,2.49
1523,2014-05-19,2.49
1524,2014-05-16,2.49
1525,2014-05-15,2.49
1526,2014-05-14,2.50
1527,2014-05-13,2.49
1528,2014-05-12,2.49
1529,2014-05-09,2.48
1530,2014-05-08,2.49
1531,2014-05-07,2.48
1532,2014-05-02,2.50
1533,2014-04-30,2.50
1534,2014-04-29,2.49
1535,2014-04-28,2.49
1536,2014-04-25,2.50
1537,2014-04-24,2.49
1538,2014-04-23,2.49
1539,2014-04-22,2.50
1540,2014-04-21,2.49
1541,2014-04-18,2.48
1542,2014-04-17,2.48
1543,2014-04-16,2.48
1544,2014-04-15,2.48
1545,2014-04-14,2.48
1546,2014-04-11,2.48
1547,2014-04-10,2.48
1548,2014-04-09,2.50
1549,2014-04-08,2.51
1550,2014-04-07,2.49
1551,2014-04-04,2.48
1552,2014-04-03,2.48
1553,2014-04-02,2.48
1554,2014-04-01,2.48
1555,2014-03-31,2.49
1556,2014-03-28,2.48
1557,2014-03-27,2.48
1558,2014-03-26,2.48
1559,2014-03-25,2.48
1560,2014-03-24,2.46
1561,2014-03-21,2.45
1562,2014-03-20,2.46
1563,2014-03-19,2.46
1564,2014-03-18,2.47
1565,2014-03-17,2.48
1566,2014-03-14,2.47
1567,2014-03-12,2.48
1568,2014-03-11,2.48
1569,2014-03-10,2.48
1570,2014-03-07,2.49
1571,2014-03-06,2.49
1572,2014-03-05,2.49
1573,2014-03-04,2.50
1574,2014-03-03,2.49
1575,2014-02-28,2.49
1576,2014-02-27,2.48
1577,2014-02-26,2.47
1578,2014-02-25,2.49
1579,2014-02-24,2.49
1580,2014-02-21,2.49
1581,2014-02-20,2.49
1582,2014-02-19,2.49
1583,2014-02-18,2.49
1584,2014-02-17,2.49
1585,2014-02-14,2.49
1586,2014-02-13,2.49
1587,2014-02-12,2.49
1588,2014-02-11,2.49
1589,2014-02-10,2.49
1590,2014-02-07,2.49
1591,2014-02-06,2.49
1592,2014-02-05,2.48
1593,2014-02-04,2.48
1594,2014-02-03,2.47
1595,2014-01-29,2.51
1596,2014-01-28,2.52
1597,2014-01-27,2.52
1598,2014-01-24,2.50
1599,2014-01-23,2.50
1600,2014-01-22,2.50
1601,2014-01-21,2.49
1602,2014-01-20,2.49
1603,2014-01-17,2.49
1604,2014-01-16,2.49
1605,2014-01-15,2.49
1606,2014-01-14,2.49
1607,2014-01-13,2.49
1608,2014-01-10,2.50
1609,2014-01-09,2.49
1610,2014-01-08,2.49
1611,2014-01-07,2.50
1612,2014-01-06,2.48
1613,2014-01-03,2.50
1614,2014-01-02,2.50
1615,2013-12-31,2.52
1616,2013-12-30,2.51
1617,2013-12-27,2.50
1618,2013-12-26,2.51
1619,2013-12-24,2.52
1620,2013-12-23,2.52
1621,2013-12-20,2.51
1622,2013-12-19,2.50
1623,2013-12-18,2.49
1624,2013-12-17,2.49
1625,2013-12-16,2.49
1626,2013-12-13,2.49
1627,2013-12-12,2.49
1628,2013-12-11,2.49
1629,2013-12-10,2.50
1630,2013-12-09,2.50
1631,2013-12-06,2.49
1632,2013-12-05,2.49
1633,2013-12-04,2.48
1634,2013-12-03,2.49
1635,2013-12-02,2.49
1636,2013-11-29,2.50
1637,2013-11-28,2.49
1638,2013-11-27,2.49
1639,2013-11-26,2.49
1640,2013-11-25,2.50
1641,2013-11-22,2.50
1642,2013-11-21,2.50
1643,2013-11-20,2.50
1644,2013-11-19,2.50
1645,2013-11-18,2.50
1646,2013-11-15,2.50
1647,2013-11-14,2.50
1648,2013-11-13,2.50
1649,2013-11-12,2.50
1650,2013-11-11,2.50
1651,2013-11-08,2.50
1652,2013-11-07,2.50
1653,2013-11-06,2.49
1654,2013-11-05,2.51
1655,2013-11-04,2.48
1656,2013-11-01,2.48
1657,2013-10-31,2.52
1658,2013-10-30,2.51
1659,2013-10-29,2.52
1660,2013-10-28,2.52
1661,2013-10-25,2.52
1662,2013-10-24,2.50
1663,2013-10-23,2.50
1664,2013-10-22,2.50
